Year,Number of Bedrooms,Property Type,County,UNIT,Rent_Price,Land_Price,Population of County,Avg_Rent_By_Bedroom,Rent_Land_Ratio,vat_internal_€m,paye_income_tax_and_usc_€m,self_employed_income_tax_€m,corporation_tax_€m,capital_gains_tax_€m
2022,All bedrooms,All property types,Cavan,Euro,889.31,10000,81704,1298.127292225201,0.088931,115.04,196.23,30.28,77.63,7.47
2022,All bedrooms,All property types,Cavan,Euro,865.28,10000,81704,1298.127292225201,0.086528,115.04,196.23,30.28,77.63,7.47
2022,All bedrooms,All property types,Cavan,Euro,844.51,10000,81704,1298.127292225201,0.084451,115.04,196.23,30.28,77.63,7.47
2022,1 to 3 bed,All property types,Cavan,Euro,837.07,10000,81704,1230.7152459016395,0.083707,115.04,196.23,30.28,77.63,7.47
2022,Two bed,All property types,Cavan,Euro,822.93,10000,81704,1274.9833802816902,0.08229299999999999,115.04,196.23,30.28,77.63,7.47
2022,1 to 3 bed,All property types,Cavan,Euro,816.1,10000,81704,1230.7152459016395,0.08161,115.04,196.23,30.28,77.63,7.47
2022,Three bed,All property types,Cavan,Euro,807.56,10000,81704,1385.131496350365,0.080756,115.04,196.23,30.28,77.63,7.47
2022,Three bed,All property types,Cavan,Euro,805.33,10000,81704,1385.131496350365,0.08053300000000001,115.04,196.23,30.28,77.63,7.47
2022,Three bed,All property types,Cavan,Euro,801.24,10000,81704,1385.131496350365,0.080124,115.04,196.23,30.28,77.63,7.47
2022,All bedrooms,All property types,Cavan,Euro,797.31,10000,81704,1298.127292225201,0.079731,115.04,196.23,30.28,77.63,7.47
2022,All bedrooms,All property types,Cavan,Euro,795.35,10000,81704,1298.127292225201,0.07953500000000001,115.04,196.23,30.28,77.63,7.47
2022,All bedrooms,All property types,Cavan,Euro,793.75,10000,81704,1298.127292225201,0.079375,115.04,196.23,30.28,77.63,7.47
2022,1 to 2 bed,All property types,Cavan,Euro,788.43,10000,81704,1184.0090322580645,0.078843,115.04,196.23,30.28,77.63,7.47
2022,1 to 3 bed,All property types,Cavan,Euro,761.29,10000,81704,1230.7152459016395,0.076129,115.04,196.23,30.28,77.63,7.47
2022,Two bed,All property types,Cavan,Euro,757.11,10000,81704,1274.9833802816902,0.075711,115.04,196.23,30.28,77.63,7.47
2022,1 to 3 bed,All property types,Cavan,Euro,746.61,10000,81704,1230.7152459016395,0.074661,115.04,196.23,30.28,77.63,7.47
2022,Two bed,All property types,Cavan,Euro,739.31,10000,81704,1274.9833802816902,0.073931,115.04,196.23,30.28,77.63,7.47
2022,All bedrooms,All property types,Cavan,Euro,728.95,10000,81704,1298.127292225201,0.072895,115.04,196.23,30.28,77.63,7.47
2022,1 to 2 bed,All property types,Cavan,Euro,728.51,10000,81704,1184.0090322580645,0.072851,115.04,196.23,30.28,77.63,7.47
2022,All bedrooms,All property types,Cavan,Euro,715.75,10000,81704,1298.127292225201,0.071575,115.04,196.23,30.28,77.63,7.47
2022,Three bed,All property types,Cavan,Euro,714.49,10000,81704,1385.131496350365,0.071449,115.04,196.23,30.28,77.63,7.47
2022,Three bed,All property types,Cavan,Euro,709.17,10000,81704,1385.131496350365,0.070917,115.04,196.23,30.28,77.63,7.47
2022,1 to 3 bed,All property types,Cavan,Euro,702.02,10000,81704,1230.7152459016395,0.070202,115.04,196.23,30.28,77.63,7.47
2022,One bed,All property types,Cavan,Euro,697.62,10000,81704,1057.0936904761904,0.069762,115.04,196.23,30.28,77.63,7.47
2022,1 to 2 bed,All property types,Cavan,Euro,696.33,10000,81704,1184.0090322580645,0.069633,115.04,196.23,30.28,77.63,7.47
2022,1 to 2 bed,All property types,Cavan,Euro,692.09,10000,81704,1184.0090322580645,0.069209,115.04,196.23,30.28,77.63,7.47
2022,1 to 3 bed,All property types,Cavan,Euro,690.07,10000,81704,1230.7152459016395,0.069007,115.04,196.23,30.28,77.63,7.47
2022,1 to 3 bed,All property types,Cavan,Euro,685.72,10000,81704,1230.7152459016395,0.06857200000000001,115.04,196.23,30.28,77.63,7.47
2022,1 to 3 bed,All property types,Cavan,Euro,677.96,10000,81704,1230.7152459016395,0.06779600000000001,115.04,196.23,30.28,77.63,7.47
2022,Two bed,All property types,Cavan,Euro,669.83,10000,81704,1274.9833802816902,0.066983,115.04,196.23,30.28,77.63,7.47
2022,One bed,All property types,Cavan,Euro,667.19,10000,81704,1057.0936904761904,0.066719,115.04,196.23,30.28,77.63,7.47
2022,Two bed,All property types,Cavan,Euro,665.96,10000,81704,1274.9833802816902,0.066596,115.04,196.23,30.28,77.63,7.47
2022,Three bed,All property types,Cavan,Euro,661.62,10000,81704,1385.131496350365,0.066162,115.04,196.23,30.28,77.63,7.47
2022,1 to 2 bed,All property types,Cavan,Euro,655.67,10000,81704,1184.0090322580645,0.065567,115.04,196.23,30.28,77.63,7.47
2022,1 to 2 bed,All property types,Cavan,Euro,615.98,10000,81704,1184.0090322580645,0.061598,115.04,196.23,30.28,77.63,7.47
2022,All bedrooms,All property types,Cavan,Euro,615.31,10000,81704,1298.127292225201,0.061530999999999995,115.04,196.23,30.28,77.63,7.47
2022,One bed,All property types,Cavan,Euro,607.75,10000,81704,1057.0936904761904,0.060775,115.04,196.23,30.28,77.63,7.47
2022,1 to 3 bed,All property types,Cavan,Euro,601.44,10000,81704,1230.7152459016395,0.060144,115.04,196.23,30.28,77.63,7.47
2022,1 to 2 bed,All property types,Cavan,Euro,587.11,10000,81704,1184.0090322580645,0.058711,115.04,196.23,30.28,77.63,7.47
2022,1 to 2 bed,All property types,Cavan,Euro,536.25,10000,81704,1184.0090322580645,0.053625,115.04,196.23,30.28,77.63,7.47
2022,Four plus bed,All property types,Clare,Euro,1157.5,9875,127938,1680.8637333333334,0.11721518987341772,168.66,380.6,50.19,136.84,15.83
2022,Four plus bed,All property types,Clare,Euro,1071.69,9875,127938,1680.8637333333334,0.10852556962025317,168.66,380.6,50.19,136.84,15.83
2022,Three bed,All property types,Clare,Euro,1038.72,9875,127938,1385.131496350365,0.10518683544303797,168.66,380.6,50.19,136.84,15.83
2022,Three bed,All property types,Clare,Euro,1024.16,9875,127938,1385.131496350365,0.10371240506329114,168.66,380.6,50.19,136.84,15.83
2022,Three bed,All property types,Clare,Euro,1003.83,9875,127938,1385.131496350365,0.10165367088607595,168.66,380.6,50.19,136.84,15.83
2022,Three bed,All property types,Clare,Euro,992.88,9875,127938,1385.131496350365,0.10054481012658228,168.66,380.6,50.19,136.84,15.83
2022,All bedrooms,All property types,Clare,Euro,983.09,9875,127938,1298.127292225201,0.09955341772151899,168.66,380.6,50.19,136.84,15.83
2022,1 to 3 bed,All property types,Clare,Euro,967.09,9875,127938,1230.7152459016395,0.09793316455696204,168.66,380.6,50.19,136.84,15.83
2022,Three bed,All property types,Clare,Euro,956.38,9875,127938,1385.131496350365,0.09684860759493671,168.66,380.6,50.19,136.84,15.83
2022,All bedrooms,All property types,Clare,Euro,955.1,9875,127938,1298.127292225201,0.09671898734177216,168.66,380.6,50.19,136.84,15.83
2022,1 to 3 bed,All property types,Clare,Euro,948.72,9875,127938,1230.7152459016395,0.09607291139240506,168.66,380.6,50.19,136.84,15.83
2022,All bedrooms,All property types,Clare,Euro,943.63,9875,127938,1298.127292225201,0.09555746835443038,168.66,380.6,50.19,136.84,15.83
2022,All bedrooms,All property types,Clare,Euro,941.41,9875,127938,1298.127292225201,0.0953326582278481,168.66,380.6,50.19,136.84,15.83
2022,1 to 3 bed,All property types,Clare,Euro,932.51,9875,127938,1230.7152459016395,0.09443139240506329,168.66,380.6,50.19,136.84,15.83
2022,Two bed,All property types,Clare,Euro,918.76,9875,127938,1274.9833802816902,0.09303898734177216,168.66,380.6,50.19,136.84,15.83
2022,1 to 3 bed,All property types,Clare,Euro,913.77,9875,127938,1230.7152459016395,0.09253367088607595,168.66,380.6,50.19,136.84,15.83
2022,Two bed,All property types,Clare,Euro,911.35,9875,127938,1274.9833802816902,0.0922886075949367,168.66,380.6,50.19,136.84,15.83
2022,All bedrooms,All property types,Clare,Euro,905.46,9875,127938,1298.127292225201,0.09169215189873418,168.66,380.6,50.19,136.84,15.83
2022,1 to 2 bed,All property types,Clare,Euro,899.76,9875,127938,1184.0090322580645,0.09111493670886076,168.66,380.6,50.19,136.84,15.83
2022,1 to 2 bed,All property types,Clare,Euro,895.26,9875,127938,1184.0090322580645,0.09065924050632912,168.66,380.6,50.19,136.84,15.83
2022,All bedrooms,All property types,Clare,Euro,892.09,9875,127938,1298.127292225201,0.09033822784810126,168.66,380.6,50.19,136.84,15.83
2022,1 to 3 bed,All property types,Clare,Euro,851.31,9875,127938,1230.7152459016395,0.0862086075949367,168.66,380.6,50.19,136.84,15.83
2022,1 to 3 bed,All property types,Clare,Euro,824.02,9875,127938,1230.7152459016395,0.08344506329113924,168.66,380.6,50.19,136.84,15.83
2022,Two bed,All property types,Clare,Euro,815.48,9875,127938,1274.9833802816902,0.08258025316455696,168.66,380.6,50.19,136.84,15.83
2022,Two bed,All property types,Clare,Euro,815.25,9875,127938,1274.9833802816902,0.08255696202531645,168.66,380.6,50.19,136.84,15.83
2022,1 to 2 bed,All property types,Clare,Euro,751.08,9875,127938,1184.0090322580645,0.07605873417721519,168.66,380.6,50.19,136.84,15.83
2022,1 to 2 bed,All property types,Clare,Euro,707.7,9875,127938,1184.0090322580645,0.07166582278481014,168.66,380.6,50.19,136.84,15.83
2022,Three bed,All property types,Clare,Euro,674.58,9875,127938,1385.131496350365,0.06831189873417721,168.66,380.6,50.19,136.84,15.83
2022,All bedrooms,All property types,Clare,Euro,645.19,9875,127938,1298.127292225201,0.06533569620253166,168.66,380.6,50.19,136.84,15.83
2022,1 to 3 bed,All property types,Clare,Euro,632.66,9875,127938,1230.7152459016395,0.06406683544303797,168.66,380.6,50.19,136.84,15.83
2022,Two bed,All property types,Clare,Euro,632.19,9875,127938,1274.9833802816902,0.06401924050632912,168.66,380.6,50.19,136.84,15.83
2022,1 to 2 bed,All property types,Clare,Euro,594.72,9875,127938,1184.0090322580645,0.06022481012658228,168.66,380.6,50.19,136.84,15.83
2022,One bed,All property types,Clare,Euro,569.77,9875,127938,1057.0936904761904,0.05769822784810126,168.66,380.6,50.19,136.84,15.83
2022,One bed,All property types,Clare,Euro,524.87,9875,127938,1057.0936904761904,0.053151392405063294,168.66,380.6,50.19,136.84,15.83
2022,Four plus bed,All property types,Cork,Euro,2031.86,17875,584156,1680.8637333333334,0.11367048951048951,1818.53,2259.48,341.84,8467.08,184.82
2022,Four plus bed,All property types,Cork,Euro,1874.94,17875,584156,1680.8637333333334,0.10489174825174825,1818.53,2259.48,341.84,8467.08,184.82
2022,Four plus bed,All property types,Cork,Euro,1780.89,17875,584156,1680.8637333333334,0.0996302097902098,1818.53,2259.48,341.84,8467.08,184.82
2022,Four plus bed,All property types,Cork,Euro,1683.22,17875,584156,1680.8637333333334,0.09416615384615384,1818.53,2259.48,341.84,8467.08,184.82
2022,Four plus bed,All property types,Cork,Euro,1666.3,17875,584156,1680.8637333333334,0.09321958041958042,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1645.5,17875,584156,1298.127292225201,0.09205594405594406,1818.53,2259.48,341.84,8467.08,184.82
2022,Four plus bed,All property types,Cork,Euro,1610.16,17875,584156,1680.8637333333334,0.09007888111888113,1818.53,2259.48,341.84,8467.08,184.82
2022,Four plus bed,All property types,Cork,Euro,1606.71,17875,584156,1680.8637333333334,0.08988587412587412,1818.53,2259.48,341.84,8467.08,184.82
2022,Four plus bed,All property types,Cork,Euro,1570.15,17875,584156,1680.8637333333334,0.08784055944055945,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1566.06,17875,584156,1385.131496350365,0.08761174825174825,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1545.77,17875,584156,1385.131496350365,0.08647664335664336,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1508.51,17875,584156,1385.131496350365,0.08439216783216782,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1452.07,17875,584156,1385.131496350365,0.0812346853146853,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1432.18,17875,584156,1298.127292225201,0.08012195804195804,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1430.42,17875,584156,1298.127292225201,0.08002349650349651,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1429.62,17875,584156,1298.127292225201,0.07997874125874126,1818.53,2259.48,341.84,8467.08,184.82
2022,Two bed,All property types,Cork,Euro,1419.22,17875,584156,1274.9833802816902,0.07939692307692307,1818.53,2259.48,341.84,8467.08,184.82
2022,Two bed,All property types,Cork,Euro,1403.69,17875,584156,1274.9833802816902,0.07852811188811189,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1398.53,17875,584156,1230.7152459016395,0.07823944055944056,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1393.14,17875,584156,1230.7152459016395,0.0779379020979021,1818.53,2259.48,341.84,8467.08,184.82
2022,Four plus bed,All property types,Cork,Euro,1388.75,17875,584156,1680.8637333333334,0.07769230769230769,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1386.77,17875,584156,1230.7152459016395,0.07758153846153847,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1384.28,17875,584156,1298.127292225201,0.07744223776223776,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1380.96,17875,584156,1385.131496350365,0.0772565034965035,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1378.86,17875,584156,1298.127292225201,0.07713902097902098,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1362.41,17875,584156,1230.7152459016395,0.07621874125874126,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1361.46,17875,584156,1298.127292225201,0.07616559440559441,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1359.65,17875,584156,1385.131496350365,0.07606433566433567,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1344.39,17875,584156,1385.131496350365,0.07521062937062938,1818.53,2259.48,341.84,8467.08,184.82
2022,Two bed,All property types,Cork,Euro,1338.48,17875,584156,1274.9833802816902,0.07488,1818.53,2259.48,341.84,8467.08,184.82
2022,Two bed,All property types,Cork,Euro,1334.21,17875,584156,1274.9833802816902,0.07464111888111888,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1330.94,17875,584156,1230.7152459016395,0.07445818181818183,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1329.78,17875,584156,1298.127292225201,0.07439328671328671,1818.53,2259.48,341.84,8467.08,184.82
2022,Two bed,All property types,Cork,Euro,1317.06,17875,584156,1274.9833802816902,0.07368167832167832,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1308.67,17875,584156,1385.131496350365,0.0732123076923077,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1306.94,17875,584156,1385.131496350365,0.07311552447552448,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1305.53,17875,584156,1230.7152459016395,0.07303664335664335,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1300.26,17875,584156,1230.7152459016395,0.07274181818181819,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1295.61,17875,584156,1298.127292225201,0.07248167832167832,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 2 bed,All property types,Cork,Euro,1293.65,17875,584156,1184.0090322580645,0.07237202797202798,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 2 bed,All property types,Cork,Euro,1292.65,17875,584156,1184.0090322580645,0.07231608391608392,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1289.43,17875,584156,1298.127292225201,0.07213594405594406,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1270.26,17875,584156,1385.131496350365,0.0710634965034965,1818.53,2259.48,341.84,8467.08,184.82
2022,Four plus bed,All property types,Cork,Euro,1270.03,17875,584156,1680.8637333333334,0.07105062937062936,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1267.64,17875,584156,1385.131496350365,0.07091692307692309,1818.53,2259.48,341.84,8467.08,184.82
2022,Two bed,All property types,Cork,Euro,1262.84,17875,584156,1274.9833802816902,0.0706483916083916,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1262.24,17875,584156,1230.7152459016395,0.07061482517482517,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 2 bed,All property types,Cork,Euro,1260.86,17875,584156,1184.0090322580645,0.07053762237762237,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1259.78,17875,584156,1385.131496350365,0.07047720279720279,1818.53,2259.48,341.84,8467.08,184.82
2022,Two bed,All property types,Cork,Euro,1251.47,17875,584156,1274.9833802816902,0.0700123076923077,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1245.05,17875,584156,1298.127292225201,0.06965314685314684,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1242.94,17875,584156,1230.7152459016395,0.0695351048951049,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1239.0,17875,584156,1298.127292225201,0.06931468531468532,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 2 bed,All property types,Cork,Euro,1235.82,17875,584156,1184.0090322580645,0.06913678321678321,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 2 bed,All property types,Cork,Euro,1229.04,17875,584156,1184.0090322580645,0.06875748251748251,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1220.57,17875,584156,1230.7152459016395,0.06828363636363637,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1208.46,17875,584156,1298.127292225201,0.06760615384615384,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 2 bed,All property types,Cork,Euro,1204.5,17875,584156,1184.0090322580645,0.06738461538461539,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1201.76,17875,584156,1298.127292225201,0.06723132867132867,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1201.01,17875,584156,1230.7152459016395,0.06718937062937062,1818.53,2259.48,341.84,8467.08,184.82
2022,Two bed,All property types,Cork,Euro,1198.62,17875,584156,1274.9833802816902,0.06705566433566433,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1187.49,17875,584156,1298.127292225201,0.066433006993007,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1180.93,17875,584156,1230.7152459016395,0.06606601398601399,1818.53,2259.48,341.84,8467.08,184.82
2022,Two bed,All property types,Cork,Euro,1179.4,17875,584156,1274.9833802816902,0.06598041958041959,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1175.45,17875,584156,1230.7152459016395,0.06575944055944057,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 2 bed,All property types,Cork,Euro,1166.18,17875,584156,1184.0090322580645,0.06524083916083917,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1165.55,17875,584156,1230.7152459016395,0.0652055944055944,1818.53,2259.48,341.84,8467.08,184.82
2022,Two bed,All property types,Cork,Euro,1164.66,17875,584156,1274.9833802816902,0.0651558041958042,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1159.4,17875,584156,1230.7152459016395,0.06486153846153847,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1148.56,17875,584156,1298.127292225201,0.06425510489510489,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1148.41,17875,584156,1385.131496350365,0.06424671328671329,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 2 bed,All property types,Cork,Euro,1147.75,17875,584156,1184.0090322580645,0.06420979020979022,1818.53,2259.48,341.84,8467.08,184.82
2022,Four plus bed,All property types,Cork,Euro,1136.51,17875,584156,1680.8637333333334,0.06358097902097902,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1131.16,17875,584156,1298.127292225201,0.06328167832167833,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1130.28,17875,584156,1230.7152459016395,0.06323244755244756,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1126.23,17875,584156,1385.131496350365,0.06300587412587412,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 2 bed,All property types,Cork,Euro,1117.68,17875,584156,1184.0090322580645,0.06252755244755245,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 2 bed,All property types,Cork,Euro,1100.82,17875,584156,1184.0090322580645,0.06158433566433566,1818.53,2259.48,341.84,8467.08,184.82
2022,Two bed,All property types,Cork,Euro,1099.78,17875,584156,1274.9833802816902,0.06152615384615384,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1094.51,17875,584156,1385.131496350365,0.06123132867132867,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1092.36,17875,584156,1230.7152459016395,0.06111104895104894,1818.53,2259.48,341.84,8467.08,184.82
2022,Two bed,All property types,Cork,Euro,1083.15,17875,584156,1274.9833802816902,0.0605958041958042,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1078.19,17875,584156,1385.131496350365,0.060318321678321685,1818.53,2259.48,341.84,8467.08,184.82
2022,Two bed,All property types,Cork,Euro,1071.1,17875,584156,1274.9833802816902,0.059921678321678315,1818.53,2259.48,341.84,8467.08,184.82
2022,Four plus bed,All property types,Cork,Euro,1070.71,17875,584156,1680.8637333333334,0.059899860139860144,1818.53,2259.48,341.84,8467.08,184.82
2022,Two bed,All property types,Cork,Euro,1064.16,17875,584156,1274.9833802816902,0.05953342657342658,1818.53,2259.48,341.84,8467.08,184.82
2022,One bed,All property types,Cork,Euro,1063.55,17875,584156,1057.0936904761904,0.0594993006993007,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 2 bed,All property types,Cork,Euro,1055.82,17875,584156,1184.0090322580645,0.05906685314685314,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 2 bed,All property types,Cork,Euro,1055.73,17875,584156,1184.0090322580645,0.05906181818181818,1818.53,2259.48,341.84,8467.08,184.82
2022,All bedrooms,All property types,Cork,Euro,1054.97,17875,584156,1298.127292225201,0.0590193006993007,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 2 bed,All property types,Cork,Euro,1041.69,17875,584156,1184.0090322580645,0.05827636363636364,1818.53,2259.48,341.84,8467.08,184.82
2022,Three bed,All property types,Cork,Euro,1037.96,17875,584156,1385.131496350365,0.058067692307692306,1818.53,2259.48,341.84,8467.08,184.82
2022,One bed,All property types,Cork,Euro,1032.23,17875,584156,1057.0936904761904,0.057747132867132865,1818.53,2259.48,341.84,8467.08,184.82
2022,1 to 3 bed,All property types,Cork,Euro,1031.03,17875,584156,1230.7152459016395,0.057679999999999995,1818.53,2259.48,341.84,8467.08,184.82
