,Number of Bedrooms,County,Rent_Price,Land_Price,Population of County,Avg_Rent_By_Bedroom,Rent_Land_Ratio,vat_internal_€m,paye_income_tax_and_usc_€m,self_employed_income_tax_€m,corporation_tax_€m,capital_gains_tax_€m,VALUE
35,All bedrooms,Cavan,795.35,10000,81704,1298.127292225201,0.079535,115.04,196.23,30.28,77.63,7.47,52780
36,All bedrooms,Cavan,793.75,10000,81704,1298.127292225201,0.079375,115.04,196.23,30.28,77.63,7.47,52780
37,1 to 2 bed,Cavan,788.43,10000,81704,1184.0090322580645,0.078843,115.04,196.23,30.28,77.63,7.47,52780
38,1 to 3 bed,Cavan,761.29,10000,81704,1230.7152459016395,0.076129,115.04,196.23,30.28,77.63,7.47,52780
39,Two bed,Cavan,757.11,10000,81704,1274.9833802816902,0.075711,115.04,196.23,30.28,77.63,7.47,52780
40,1 to 3 bed,Cavan,746.61,10000,81704,1230.7152459016395,0.074661,115.04,196.23,30.28,77.63,7.47,52780
41,Two bed,Cavan,739.31,10000,81704,1274.9833802816902,0.073931,115.04,196.23,30.28,77.63,7.47,52780
42,All bedrooms,Cavan,728.95,10000,81704,1298.127292225201,0.072895,115.04,196.23,30.28,77.63,7.47,52780
43,1 to 2 bed,Cavan,728.51,10000,81704,1184.0090322580645,0.072851,115.04,196.23,30.28,77.63,7.47,52780
44,All bedrooms,Cavan,715.75,10000,81704,1298.127292225201,0.071575,115.04,196.23,30.28,77.63,7.47,52780
45,Three bed,Cavan,714.49,10000,81704,1385.131496350365,0.071449,115.04,196.23,30.28,77.63,7.47,52780
46,Three bed,Cavan,709.17,10000,81704,1385.131496350365,0.070917,115.04,196.23,30.28,77.63,7.47,52780
47,1 to 3 bed,Cavan,702.02,10000,81704,1230.7152459016395,0.070202,115.04,196.23,30.28,77.63,7.47,52780
48,One bed,Cavan,697.62,10000,81704,1057.0936904761904,0.069762,115.04,196.23,30.28,77.63,7.47,52780
49,1 to 2 bed,Cavan,696.33,10000,81704,1184.0090322580645,0.069633,115.04,196.23,30.28,77.63,7.47,52780
50,1 to 2 bed,Cavan,692.09,10000,81704,1184.0090322580645,0.069209,115.04,196.23,30.28,77.63,7.47,52780
51,1 to 3 bed,Cavan,690.07,10000,81704,1230.7152459016395,0.069007,115.04,196.23,30.28,77.63,7.47,52780
52,1 to 3 bed,Cavan,685.72,10000,81704,1230.7152459016395,0.068572,115.04,196.23,30.28,77.63,7.47,52780
53,1 to 3 bed,Cavan,677.96,10000,81704,1230.7152459016395,0.067796,115.04,196.23,30.28,77.63,7.47,52780
54,Two bed,Cavan,669.83,10000,81704,1274.9833802816902,0.066983,115.04,196.23,30.28,77.63,7.47,52780
55,One bed,Cavan,667.19,10000,81704,1057.0936904761904,0.066719,115.04,196.23,30.28,77.63,7.47,52780
56,Two bed,Cavan,665.96,10000,81704,1274.9833802816902,0.066596,115.04,196.23,30.28,77.63,7.47,52780
57,Three bed,Cavan,661.62,10000,81704,1385.131496350365,0.066162,115.04,196.23,30.28,77.63,7.47,52780
58,1 to 2 bed,Cavan,655.67,10000,81704,1184.0090322580645,0.065567,115.04,196.23,30.28,77.63,7.47,52780
59,1 to 2 bed,Cavan,615.98,10000,81704,1184.0090322580645,0.061598,115.04,196.23,30.28,77.63,7.47,52780
60,All bedrooms,Cavan,615.31,10000,81704,1298.127292225201,0.0615309999999999,115.04,196.23,30.28,77.63,7.47,52780
61,One bed,Cavan,607.75,10000,81704,1057.0936904761904,0.060775,115.04,196.23,30.28,77.63,7.47,52780
62,1 to 3 bed,Cavan,601.44,10000,81704,1230.7152459016395,0.060144,115.04,196.23,30.28,77.63,7.47,52780
63,1 to 2 bed,Cavan,587.11,10000,81704,1184.0090322580645,0.058711,115.04,196.23,30.28,77.63,7.47,52780
64,1 to 2 bed,Cavan,536.25,10000,81704,1184.0090322580645,0.053625,115.04,196.23,30.28,77.63,7.47,52780
65,Four plus bed,Clare,1157.5,9875,127938,1680.8637333333334,0.1172151898734177,168.66,380.6,50.19,136.84,15.83,55072
66,Four plus bed,Clare,1071.69,9875,127938,1680.8637333333334,0.1085255696202531,168.66,380.6,50.19,136.84,15.83,55072
67,Three bed,Clare,1038.72,9875,127938,1385.131496350365,0.1051868354430379,168.66,380.6,50.19,136.84,15.83,55072
68,Three bed,Clare,1024.16,9875,127938,1385.131496350365,0.1037124050632911,168.66,380.6,50.19,136.84,15.83,55072
69,Three bed,Clare,1003.83,9875,127938,1385.131496350365,0.1016536708860759,168.66,380.6,50.19,136.84,15.83,55072
70,Three bed,Clare,992.88,9875,127938,1385.131496350365,0.1005448101265822,168.66,380.6,50.19,136.84,15.83,55072
71,All bedrooms,Clare,983.09,9875,127938,1298.127292225201,0.0995534177215189,168.66,380.6,50.19,136.84,15.83,55072
72,1 to 3 bed,Clare,967.09,9875,127938,1230.7152459016395,0.097933164556962,168.66,380.6,50.19,136.84,15.83,55072
73,Three bed,Clare,956.38,9875,127938,1385.131496350365,0.0968486075949367,168.66,380.6,50.19,136.84,15.83,55072
74,All bedrooms,Clare,955.1,9875,127938,1298.127292225201,0.0967189873417721,168.66,380.6,50.19,136.84,15.83,55072
75,1 to 3 bed,Clare,948.72,9875,127938,1230.7152459016395,0.096072911392405,168.66,380.6,50.19,136.84,15.83,55072
76,All bedrooms,Clare,943.63,9875,127938,1298.127292225201,0.0955574683544303,168.66,380.6,50.19,136.84,15.83,55072
77,All bedrooms,Clare,941.41,9875,127938,1298.127292225201,0.0953326582278481,168.66,380.6,50.19,136.84,15.83,55072
78,1 to 3 bed,Clare,932.51,9875,127938,1230.7152459016395,0.0944313924050632,168.66,380.6,50.19,136.84,15.83,55072
79,Two bed,Clare,918.76,9875,127938,1274.9833802816902,0.0930389873417721,168.66,380.6,50.19,136.84,15.83,55072
80,1 to 3 bed,Clare,913.77,9875,127938,1230.7152459016395,0.0925336708860759,168.66,380.6,50.19,136.84,15.83,55072
81,Two bed,Clare,911.35,9875,127938,1274.9833802816902,0.0922886075949367,168.66,380.6,50.19,136.84,15.83,55072
82,All bedrooms,Clare,905.46,9875,127938,1298.127292225201,0.0916921518987341,168.66,380.6,50.19,136.84,15.83,55072
83,1 to 2 bed,Clare,899.76,9875,127938,1184.0090322580645,0.0911149367088607,168.66,380.6,50.19,136.84,15.83,55072
84,1 to 2 bed,Clare,895.26,9875,127938,1184.0090322580645,0.0906592405063291,168.66,380.6,50.19,136.84,15.83,55072
85,All bedrooms,Clare,892.09,9875,127938,1298.127292225201,0.0903382278481012,168.66,380.6,50.19,136.84,15.83,55072
86,1 to 3 bed,Clare,851.31,9875,127938,1230.7152459016395,0.0862086075949367,168.66,380.6,50.19,136.84,15.83,55072
87,1 to 3 bed,Clare,824.02,9875,127938,1230.7152459016395,0.0834450632911392,168.66,380.6,50.19,136.84,15.83,55072
88,Two bed,Clare,815.48,9875,127938,1274.9833802816902,0.0825802531645569,168.66,380.6,50.19,136.84,15.83,55072
89,Two bed,Clare,815.25,9875,127938,1274.9833802816902,0.0825569620253164,168.66,380.6,50.19,136.84,15.83,55072
90,1 to 2 bed,Clare,751.08,9875,127938,1184.0090322580645,0.0760587341772151,168.66,380.6,50.19,136.84,15.83,55072
91,1 to 2 bed,Clare,707.7,9875,127938,1184.0090322580645,0.0716658227848101,168.66,380.6,50.19,136.84,15.83,55072
92,Three bed,Clare,674.58,9875,127938,1385.131496350365,0.0683118987341772,168.66,380.6,50.19,136.84,15.83,55072
93,All bedrooms,Clare,645.19,9875,127938,1298.127292225201,0.0653356962025316,168.66,380.6,50.19,136.84,15.83,55072
94,1 to 3 bed,Clare,632.66,9875,127938,1230.7152459016395,0.0640668354430379,168.66,380.6,50.19,136.84,15.83,55072
95,Two bed,Clare,632.19,9875,127938,1274.9833802816902,0.0640192405063291,168.66,380.6,50.19,136.84,15.83,55072
96,1 to 2 bed,Clare,594.72,9875,127938,1184.0090322580645,0.0602248101265822,168.66,380.6,50.19,136.84,15.83,55072
97,One bed,Clare,569.77,9875,127938,1057.0936904761904,0.0576982278481012,168.66,380.6,50.19,136.84,15.83,55072
98,One bed,Clare,524.87,9875,127938,1057.0936904761904,0.0531513924050632,168.66,380.6,50.19,136.84,15.83,55072
99,Four plus bed,Cork,2031.86,17875,584156,1680.8637333333334,0.1136704895104895,1818.53,2259.48,341.84,8467.08,184.82,60620
100,Four plus bed,Cork,1874.94,17875,584156,1680.8637333333334,0.1048917482517482,1818.53,2259.48,341.84,8467.08,184.82,60620
101,Four plus bed,Cork,1780.89,17875,584156,1680.8637333333334,0.0996302097902098,1818.53,2259.48,341.84,8467.08,184.82,60620
102,Four plus bed,Cork,1683.22,17875,584156,1680.8637333333334,0.0941661538461538,1818.53,2259.48,341.84,8467.08,184.82,60620
103,Four plus bed,Cork,1666.3,17875,584156,1680.8637333333334,0.0932195804195804,1818.53,2259.48,341.84,8467.08,184.82,60620
104,All bedrooms,Cork,1645.5,17875,584156,1298.127292225201,0.092055944055944,1818.53,2259.48,341.84,8467.08,184.82,60620
105,Four plus bed,Cork,1610.16,17875,584156,1680.8637333333334,0.0900788811188811,1818.53,2259.48,341.84,8467.08,184.82,60620
106,Four plus bed,Cork,1606.71,17875,584156,1680.8637333333334,0.0898858741258741,1818.53,2259.48,341.84,8467.08,184.82,60620
107,Four plus bed,Cork,1570.15,17875,584156,1680.8637333333334,0.0878405594405594,1818.53,2259.48,341.84,8467.08,184.82,60620
108,Three bed,Cork,1566.06,17875,584156,1385.131496350365,0.0876117482517482,1818.53,2259.48,341.84,8467.08,184.82,60620
109,Three bed,Cork,1545.77,17875,584156,1385.131496350365,0.0864766433566433,1818.53,2259.48,341.84,8467.08,184.82,60620
110,Three bed,Cork,1508.51,17875,584156,1385.131496350365,0.0843921678321678,1818.53,2259.48,341.84,8467.08,184.82,60620
111,Three bed,Cork,1452.07,17875,584156,1385.131496350365,0.0812346853146853,1818.53,2259.48,341.84,8467.08,184.82,60620
112,All bedrooms,Cork,1432.18,17875,584156,1298.127292225201,0.080121958041958,1818.53,2259.48,341.84,8467.08,184.82,60620
113,All bedrooms,Cork,1430.42,17875,584156,1298.127292225201,0.0800234965034965,1818.53,2259.48,341.84,8467.08,184.82,60620
114,All bedrooms,Cork,1429.62,17875,584156,1298.127292225201,0.0799787412587412,1818.53,2259.48,341.84,8467.08,184.82,60620
115,Two bed,Cork,1419.22,17875,584156,1274.9833802816902,0.079396923076923,1818.53,2259.48,341.84,8467.08,184.82,60620
116,Two bed,Cork,1403.69,17875,584156,1274.9833802816902,0.0785281118881118,1818.53,2259.48,341.84,8467.08,184.82,60620
117,1 to 3 bed,Cork,1398.53,17875,584156,1230.7152459016395,0.0782394405594405,1818.53,2259.48,341.84,8467.08,184.82,60620
118,1 to 3 bed,Cork,1393.14,17875,584156,1230.7152459016395,0.0779379020979021,1818.53,2259.48,341.84,8467.08,184.82,60620
119,Four plus bed,Cork,1388.75,17875,584156,1680.8637333333334,0.0776923076923076,1818.53,2259.48,341.84,8467.08,184.82,60620
120,1 to 3 bed,Cork,1386.77,17875,584156,1230.7152459016395,0.0775815384615384,1818.53,2259.48,341.84,8467.08,184.82,60620
121,All bedrooms,Cork,1384.28,17875,584156,1298.127292225201,0.0774422377622377,1818.53,2259.48,341.84,8467.08,184.82,60620
122,Three bed,Cork,1380.96,17875,584156,1385.131496350365,0.0772565034965035,1818.53,2259.48,341.84,8467.08,184.82,60620
123,All bedrooms,Cork,1378.86,17875,584156,1298.127292225201,0.0771390209790209,1818.53,2259.48,341.84,8467.08,184.82,60620
124,1 to 3 bed,Cork,1362.41,17875,584156,1230.7152459016395,0.0762187412587412,1818.53,2259.48,341.84,8467.08,184.82,60620
125,All bedrooms,Cork,1361.46,17875,584156,1298.127292225201,0.0761655944055944,1818.53,2259.48,341.84,8467.08,184.82,60620
126,Three bed,Cork,1359.65,17875,584156,1385.131496350365,0.0760643356643356,1818.53,2259.48,341.84,8467.08,184.82,60620
127,Three bed,Cork,1344.39,17875,584156,1385.131496350365,0.0752106293706293,1818.53,2259.48,341.84,8467.08,184.82,60620
128,Two bed,Cork,1338.48,17875,584156,1274.9833802816902,0.07488,1818.53,2259.48,341.84,8467.08,184.82,60620
129,Two bed,Cork,1334.21,17875,584156,1274.9833802816902,0.0746411188811188,1818.53,2259.48,341.84,8467.08,184.82,60620
130,1 to 3 bed,Cork,1330.94,17875,584156,1230.7152459016395,0.0744581818181818,1818.53,2259.48,341.84,8467.08,184.82,60620
131,All bedrooms,Cork,1329.78,17875,584156,1298.127292225201,0.0743932867132867,1818.53,2259.48,341.84,8467.08,184.82,60620
132,Two bed,Cork,1317.06,17875,584156,1274.9833802816902,0.0736816783216783,1818.53,2259.48,341.84,8467.08,184.82,60620
133,Three bed,Cork,1308.67,17875,584156,1385.131496350365,0.0732123076923077,1818.53,2259.48,341.84,8467.08,184.82,60620
134,Three bed,Cork,1306.94,17875,584156,1385.131496350365,0.0731155244755244,1818.53,2259.48,341.84,8467.08,184.82,60620
135,1 to 3 bed,Cork,1305.53,17875,584156,1230.7152459016395,0.0730366433566433,1818.53,2259.48,341.84,8467.08,184.82,60620
136,1 to 3 bed,Cork,1300.26,17875,584156,1230.7152459016395,0.0727418181818181,1818.53,2259.48,341.84,8467.08,184.82,60620
137,All bedrooms,Cork,1295.61,17875,584156,1298.127292225201,0.0724816783216783,1818.53,2259.48,341.84,8467.08,184.82,60620
138,1 to 2 bed,Cork,1293.65,17875,584156,1184.0090322580645,0.0723720279720279,1818.53,2259.48,341.84,8467.08,184.82,60620
139,1 to 2 bed,Cork,1292.65,17875,584156,1184.0090322580645,0.0723160839160839,1818.53,2259.48,341.84,8467.08,184.82,60620
140,All bedrooms,Cork,1289.43,17875,584156,1298.127292225201,0.072135944055944,1818.53,2259.48,341.84,8467.08,184.82,60620
141,Three bed,Cork,1270.26,17875,584156,1385.131496350365,0.0710634965034965,1818.53,2259.48,341.84,8467.08,184.82,60620
142,Four plus bed,Cork,1270.03,17875,584156,1680.8637333333334,0.0710506293706293,1818.53,2259.48,341.84,8467.08,184.82,60620
143,Three bed,Cork,1267.64,17875,584156,1385.131496350365,0.070916923076923,1818.53,2259.48,341.84,8467.08,184.82,60620
144,Two bed,Cork,1262.84,17875,584156,1274.9833802816902,0.0706483916083916,1818.53,2259.48,341.84,8467.08,184.82,60620
145,1 to 3 bed,Cork,1262.24,17875,584156,1230.7152459016395,0.0706148251748251,1818.53,2259.48,341.84,8467.08,184.82,60620
146,1 to 2 bed,Cork,1260.86,17875,584156,1184.0090322580645,0.0705376223776223,1818.53,2259.48,341.84,8467.08,184.82,60620
147,Three bed,Cork,1259.78,17875,584156,1385.131496350365,0.0704772027972027,1818.53,2259.48,341.84,8467.08,184.82,60620
148,Two bed,Cork,1251.47,17875,584156,1274.9833802816902,0.0700123076923077,1818.53,2259.48,341.84,8467.08,184.82,60620
149,All bedrooms,Cork,1245.05,17875,584156,1298.127292225201,0.0696531468531468,1818.53,2259.48,341.84,8467.08,184.82,60620
150,1 to 3 bed,Cork,1242.94,17875,584156,1230.7152459016395,0.0695351048951049,1818.53,2259.48,341.84,8467.08,184.82,60620
151,All bedrooms,Cork,1239.0,17875,584156,1298.127292225201,0.0693146853146853,1818.53,2259.48,341.84,8467.08,184.82,60620
152,1 to 2 bed,Cork,1235.82,17875,584156,1184.0090322580645,0.0691367832167832,1818.53,2259.48,341.84,8467.08,184.82,60620
153,1 to 2 bed,Cork,1229.04,17875,584156,1184.0090322580645,0.0687574825174825,1818.53,2259.48,341.84,8467.08,184.82,60620
154,1 to 3 bed,Cork,1220.57,17875,584156,1230.7152459016395,0.0682836363636363,1818.53,2259.48,341.84,8467.08,184.82,60620
155,All bedrooms,Cork,1208.46,17875,584156,1298.127292225201,0.0676061538461538,1818.53,2259.48,341.84,8467.08,184.82,60620
156,1 to 2 bed,Cork,1204.5,17875,584156,1184.0090322580645,0.0673846153846153,1818.53,2259.48,341.84,8467.08,184.82,60620
157,All bedrooms,Cork,1201.76,17875,584156,1298.127292225201,0.0672313286713286,1818.53,2259.48,341.84,8467.08,184.82,60620
158,1 to 3 bed,Cork,1201.01,17875,584156,1230.7152459016395,0.0671893706293706,1818.53,2259.48,341.84,8467.08,184.82,60620
159,Two bed,Cork,1198.62,17875,584156,1274.9833802816902,0.0670556643356643,1818.53,2259.48,341.84,8467.08,184.82,60620
160,All bedrooms,Cork,1187.49,17875,584156,1298.127292225201,0.066433006993007,1818.53,2259.48,341.84,8467.08,184.82,60620
161,1 to 3 bed,Cork,1180.93,17875,584156,1230.7152459016395,0.0660660139860139,1818.53,2259.48,341.84,8467.08,184.82,60620
162,Two bed,Cork,1179.4,17875,584156,1274.9833802816902,0.0659804195804195,1818.53,2259.48,341.84,8467.08,184.82,60620
163,1 to 3 bed,Cork,1175.45,17875,584156,1230.7152459016395,0.0657594405594405,1818.53,2259.48,341.84,8467.08,184.82,60620
164,1 to 2 bed,Cork,1166.18,17875,584156,1184.0090322580645,0.0652408391608391,1818.53,2259.48,341.84,8467.08,184.82,60620
165,1 to 3 bed,Cork,1165.55,17875,584156,1230.7152459016395,0.0652055944055944,1818.53,2259.48,341.84,8467.08,184.82,60620
166,Two bed,Cork,1164.66,17875,584156,1274.9833802816902,0.0651558041958042,1818.53,2259.48,341.84,8467.08,184.82,60620
167,1 to 3 bed,Cork,1159.4,17875,584156,1230.7152459016395,0.0648615384615384,1818.53,2259.48,341.84,8467.08,184.82,60620
168,All bedrooms,Cork,1148.56,17875,584156,1298.127292225201,0.0642551048951048,1818.53,2259.48,341.84,8467.08,184.82,60620
169,Three bed,Cork,1148.41,17875,584156,1385.131496350365,0.0642467132867132,1818.53,2259.48,341.84,8467.08,184.82,60620
170,1 to 2 bed,Cork,1147.75,17875,584156,1184.0090322580645,0.0642097902097902,1818.53,2259.48,341.84,8467.08,184.82,60620
171,Four plus bed,Cork,1136.51,17875,584156,1680.8637333333334,0.063580979020979,1818.53,2259.48,341.84,8467.08,184.82,60620
172,All bedrooms,Cork,1131.16,17875,584156,1298.127292225201,0.0632816783216783,1818.53,2259.48,341.84,8467.08,184.82,60620
173,1 to 3 bed,Cork,1130.28,17875,584156,1230.7152459016395,0.0632324475524475,1818.53,2259.48,341.84,8467.08,184.82,60620
174,Three bed,Cork,1126.23,17875,584156,1385.131496350365,0.0630058741258741,1818.53,2259.48,341.84,8467.08,184.82,60620
175,1 to 2 bed,Cork,1117.68,17875,584156,1184.0090322580645,0.0625275524475524,1818.53,2259.48,341.84,8467.08,184.82,60620
176,1 to 2 bed,Cork,1100.82,17875,584156,1184.0090322580645,0.0615843356643356,1818.53,2259.48,341.84,8467.08,184.82,60620
177,Two bed,Cork,1099.78,17875,584156,1274.9833802816902,0.0615261538461538,1818.53,2259.48,341.84,8467.08,184.82,60620
178,Three bed,Cork,1094.51,17875,584156,1385.131496350365,0.0612313286713286,1818.53,2259.48,341.84,8467.08,184.82,60620
179,1 to 3 bed,Cork,1092.36,17875,584156,1230.7152459016395,0.0611110489510489,1818.53,2259.48,341.84,8467.08,184.82,60620
180,Two bed,Cork,1083.15,17875,584156,1274.9833802816902,0.0605958041958042,1818.53,2259.48,341.84,8467.08,184.82,60620
181,Three bed,Cork,1078.19,17875,584156,1385.131496350365,0.0603183216783216,1818.53,2259.48,341.84,8467.08,184.82,60620
182,Two bed,Cork,1071.1,17875,584156,1274.9833802816902,0.0599216783216783,1818.53,2259.48,341.84,8467.08,184.82,60620
183,Four plus bed,Cork,1070.71,17875,584156,1680.8637333333334,0.0598998601398601,1818.53,2259.48,341.84,8467.08,184.82,60620
184,Two bed,Cork,1064.16,17875,584156,1274.9833802816902,0.0595334265734265,1818.53,2259.48,341.84,8467.08,184.82,60620
185,One bed,Cork,1063.55,17875,584156,1057.0936904761904,0.0594993006993007,1818.53,2259.48,341.84,8467.08,184.82,60620
186,1 to 2 bed,Cork,1055.82,17875,584156,1184.0090322580645,0.0590668531468531,1818.53,2259.48,341.84,8467.08,184.82,60620
187,1 to 2 bed,Cork,1055.73,17875,584156,1184.0090322580645,0.0590618181818181,1818.53,2259.48,341.84,8467.08,184.82,60620
188,All bedrooms,Cork,1054.97,17875,584156,1298.127292225201,0.0590193006993007,1818.53,2259.48,341.84,8467.08,184.82,60620
189,1 to 2 bed,Cork,1041.69,17875,584156,1184.0090322580645,0.0582763636363636,1818.53,2259.48,341.84,8467.08,184.82,60620
190,Three bed,Cork,1037.96,17875,584156,1385.131496350365,0.0580676923076923,1818.53,2259.48,341.84,8467.08,184.82,60620
191,One bed,Cork,1032.23,17875,584156,1057.0936904761904,0.0577471328671328,1818.53,2259.48,341.84,8467.08,184.82,60620
192,1 to 3 bed,Cork,1031.03,17875,584156,1230.7152459016395,0.0576799999999999,1818.53,2259.48,341.84,8467.08,184.82,60620
193,1 to 2 bed,Cork,1017.06,17875,584156,1184.0090322580645,0.0568984615384615,1818.53,2259.48,341.84,8467.08,184.82,60620
194,Three bed,Cork,1013.62,17875,584156,1385.131496350365,0.0567060139860139,1818.53,2259.48,341.84,8467.08,184.82,60620
195,All bedrooms,Cork,1012.01,17875,584156,1298.127292225201,0.056615944055944,1818.53,2259.48,341.84,8467.08,184.82,60620
196,Three bed,Cork,1010.65,17875,584156,1385.131496350365,0.0565398601398601,1818.53,2259.48,341.84,8467.08,184.82,60620
197,All bedrooms,Cork,1002.12,17875,584156,1298.127292225201,0.0560626573426573,1818.53,2259.48,341.84,8467.08,184.82,60620
198,1 to 3 bed,Cork,999.73,17875,584156,1230.7152459016395,0.055928951048951,1818.53,2259.48,341.84,8467.08,184.82,60620
199,Two bed,Cork,996.74,17875,584156,1274.9833802816902,0.0557616783216783,1818.53,2259.48,341.84,8467.08,184.82,60620
200,One bed,Cork,995.58,17875,584156,1057.0936904761904,0.0556967832167832,1818.53,2259.48,341.84,8467.08,184.82,60620
201,One bed,Cork,995.41,17875,584156,1057.0936904761904,0.0556872727272727,1818.53,2259.48,341.84,8467.08,184.82,60620
202,All bedrooms,Cork,994.88,17875,584156,1298.127292225201,0.0556576223776223,1818.53,2259.48,341.84,8467.08,184.82,60620
203,All bedrooms,Cork,994.32,17875,584156,1298.127292225201,0.0556262937062937,1818.53,2259.48,341.84,8467.08,184.82,60620
204,1 to 3 bed,Cork,994.32,17875,584156,1230.7152459016395,0.0556262937062937,1818.53,2259.48,341.84,8467.08,184.82,60620
205,1 to 3 bed,Cork,993.55,17875,584156,1230.7152459016395,0.0555832167832167,1818.53,2259.48,341.84,8467.08,184.82,60620
206,All bedrooms,Cork,993.37,17875,584156,1298.127292225201,0.0555731468531468,1818.53,2259.48,341.84,8467.08,184.82,60620
207,Two bed,Cork,992.19,17875,584156,1274.9833802816902,0.0555071328671328,1818.53,2259.48,341.84,8467.08,184.82,60620
208,All bedrooms,Cork,988.2,17875,584156,1298.127292225201,0.055283916083916,1818.53,2259.48,341.84,8467.08,184.82,60620
209,One bed,Cork,987.68,17875,584156,1057.0936904761904,0.0552548251748251,1818.53,2259.48,341.84,8467.08,184.82,60620
210,1 to 3 bed,Cork,974.68,17875,584156,1230.7152459016395,0.0545275524475524,1818.53,2259.48,341.84,8467.08,184.82,60620
