Year,Number of Bedrooms,Property Type,County,UNIT,Rent_Price,Land_Price,Population of County
2022,All bedrooms,All property types,Cork,Euro,1329.78,17875,584156
2022,Two bed,All property types,Cork,Euro,1317.06,17875,584156
2022,Three bed,All property types,Cork,Euro,1308.67,17875,584156
2022,Three bed,All property types,Cork,Euro,1306.94,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1305.53,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1300.26,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1295.61,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,1293.65,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,1292.65,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1289.43,17875,584156
2022,Three bed,All property types,Cork,Euro,1270.26,17875,584156
2022,Four plus bed,All property types,Cork,Euro,1270.03,17875,584156
2022,Three bed,All property types,Cork,Euro,1267.64,17875,584156
2022,Two bed,All property types,Cork,Euro,1262.84,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1262.24,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,1260.86,17875,584156
2022,Three bed,All property types,Cork,Euro,1259.78,17875,584156
2022,Two bed,All property types,Cork,Euro,1251.47,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1245.05,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1242.94,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1239,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,1235.82,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,1229.04,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1220.57,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1208.46,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,1204.5,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1201.76,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1201.01,17875,584156
2022,Two bed,All property types,Cork,Euro,1198.62,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1187.49,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1180.93,17875,584156
2022,Two bed,All property types,Cork,Euro,1179.4,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1175.45,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,1166.18,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1165.55,17875,584156
2022,Two bed,All property types,Cork,Euro,1164.66,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1159.4,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1148.56,17875,584156
2022,Three bed,All property types,Cork,Euro,1148.41,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,1147.75,17875,584156
2022,Four plus bed,All property types,Cork,Euro,1136.51,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1131.16,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1130.28,17875,584156
2022,Three bed,All property types,Cork,Euro,1126.23,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,1117.68,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,1100.82,17875,584156
2022,Two bed,All property types,Cork,Euro,1099.78,17875,584156
2022,Three bed,All property types,Cork,Euro,1094.51,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1092.36,17875,584156
2022,Two bed,All property types,Cork,Euro,1083.15,17875,584156
2022,Three bed,All property types,Cork,Euro,1078.19,17875,584156
2022,Two bed,All property types,Cork,Euro,1071.1,17875,584156
2022,Four plus bed,All property types,Cork,Euro,1070.71,17875,584156
2022,Two bed,All property types,Cork,Euro,1064.16,17875,584156
2022,One bed,All property types,Cork,Euro,1063.55,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,1055.82,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,1055.73,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1054.97,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,1041.69,17875,584156
2022,Three bed,All property types,Cork,Euro,1037.96,17875,584156
2022,One bed,All property types,Cork,Euro,1032.23,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,1031.03,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,1017.06,17875,584156
2022,Three bed,All property types,Cork,Euro,1013.62,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1012.01,17875,584156
2022,Three bed,All property types,Cork,Euro,1010.65,17875,584156
2022,All bedrooms,All property types,Cork,Euro,1002.12,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,999.73,17875,584156
2022,Two bed,All property types,Cork,Euro,996.74,17875,584156
2022,One bed,All property types,Cork,Euro,995.58,17875,584156
2022,One bed,All property types,Cork,Euro,995.41,17875,584156
2022,All bedrooms,All property types,Cork,Euro,994.88,17875,584156
2022,All bedrooms,All property types,Cork,Euro,994.32,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,994.32,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,993.55,17875,584156
2022,All bedrooms,All property types,Cork,Euro,993.37,17875,584156
2022,Two bed,All property types,Cork,Euro,992.19,17875,584156
2022,All bedrooms,All property types,Cork,Euro,988.2,17875,584156
2022,One bed,All property types,Cork,Euro,987.68,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,974.68,17875,584156
2022,Three bed,All property types,Cork,Euro,973.97,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,973.77,17875,584156
2022,All bedrooms,All property types,Cork,Euro,970.34,17875,584156
2022,Three bed,All property types,Cork,Euro,960.81,17875,584156
2022,Three bed,All property types,Cork,Euro,959.83,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,953.08,17875,584156
2022,One bed,All property types,Cork,Euro,952.96,17875,584156
2022,All bedrooms,All property types,Cork,Euro,949.5,17875,584156
2022,Two bed,All property types,Cork,Euro,948.25,17875,584156
2022,Three bed,All property types,Cork,Euro,945.33,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,938.29,17875,584156
2022,All bedrooms,All property types,Cork,Euro,938.08,17875,584156
2022,Two bed,All property types,Cork,Euro,935.98,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,930.22,17875,584156
2022,Four plus bed,All property types,Cork,Euro,922.4,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,915.74,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,904.93,17875,584156
2022,All bedrooms,All property types,Cork,Euro,901.31,17875,584156
2022,Two bed,All property types,Cork,Euro,896.25,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,894.98,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,890.57,17875,584156
2022,Three bed,All property types,Cork,Euro,890.4,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,882.82,17875,584156
2022,All bedrooms,All property types,Cork,Euro,874.99,17875,584156
2022,All bedrooms,All property types,Cork,Euro,860.44,17875,584156
2022,All bedrooms,All property types,Cork,Euro,857.89,17875,584156
2022,Two bed,All property types,Cork,Euro,857.22,17875,584156
2022,Three bed,All property types,Cork,Euro,857.14,17875,584156
2022,One bed,All property types,Cork,Euro,852.75,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,850.89,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,850.2,17875,584156
2022,All bedrooms,All property types,Cork,Euro,848.42,17875,584156
2022,Three bed,All property types,Cork,Euro,844.49,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,840.21,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,835.07,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,832.23,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,831.75,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,828.58,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,825.15,17875,584156
2022,All bedrooms,All property types,Cork,Euro,819.53,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,817.85,17875,584156
2022,Two bed,All property types,Cork,Euro,810.61,17875,584156
2022,One bed,All property types,Cork,Euro,796.33,17875,584156
2022,Two bed,All property types,Cork,Euro,793.82,17875,584156
2022,Two bed,All property types,Cork,Euro,791.07,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,790.64,17875,584156
2022,All bedrooms,All property types,Cork,Euro,787.65,17875,584156
2022,Two bed,All property types,Cork,Euro,787.08,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,767.14,17875,584156
2022,1 to 3 bed,All property types,Cork,Euro,755.95,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,755.02,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,736.17,17875,584156
2022,One bed,All property types,Cork,Euro,719.28,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,714.35,17875,584156
2022,Two bed,All property types,Cork,Euro,714.31,17875,584156
2022,1 to 2 bed,All property types,Cork,Euro,686.53,17875,584156
2022,One bed,All property types,Cork,Euro,680.72,17875,584156
2022,One bed,All property types,Cork,Euro,615.42,17875,584156
2022,Four plus bed,All property types,Donegal,Euro,933.9,13280,167084
2022,Four plus bed,All property types,Donegal,Euro,817.69,13280,167084
2022,Three bed,All property types,Donegal,Euro,812.29,13280,167084
2022,Four plus bed,All property types,Donegal,Euro,812.09,13280,167084
2022,All bedrooms,All property types,Donegal,Euro,787.89,13280,167084
2022,Four plus bed,All property types,Donegal,Euro,746.67,13280,167084
2022,1 to 3 bed,All property types,Donegal,Euro,745.93,13280,167084
2022,Three bed,All property types,Donegal,Euro,726.56,13280,167084
2022,Three bed,All property types,Donegal,Euro,724.51,13280,167084
2022,Two bed,All property types,Donegal,Euro,712.2,13280,167084
2022,All bedrooms,All property types,Donegal,Euro,703.3,13280,167084
2022,1 to 2 bed,All property types,Donegal,Euro,677.77,13280,167084
2022,All bedrooms,All property types,Donegal,Euro,667.09,13280,167084
2022,1 to 3 bed,All property types,Donegal,Euro,666.05,13280,167084
2022,Three bed,All property types,Donegal,Euro,663.47,13280,167084
2022,All bedrooms,All property types,Donegal,Euro,655.23,13280,167084
2022,Three bed,All property types,Donegal,Euro,648.74,13280,167084
2022,All bedrooms,All property types,Donegal,Euro,648.24,13280,167084
2022,All bedrooms,All property types,Donegal,Euro,646.62,13280,167084
2022,1 to 3 bed,All property types,Donegal,Euro,639.04,13280,167084
2022,Two bed,All property types,Donegal,Euro,630.45,13280,167084
2022,1 to 3 bed,All property types,Donegal,Euro,625.5,13280,167084
2022,All bedrooms,All property types,Donegal,Euro,622.06,13280,167084
2022,Two bed,All property types,Donegal,Euro,619.15,13280,167084
2022,Two bed,All property types,Donegal,Euro,612.2,13280,167084
2022,All bedrooms,All property types,Donegal,Euro,610.79,13280,167084
2022,1 to 2 bed,All property types,Donegal,Euro,605.77,13280,167084
2022,1 to 2 bed,All property types,Donegal,Euro,605.63,13280,167084
2022,All bedrooms,All property types,Donegal,Euro,603.84,13280,167084
2022,1 to 3 bed,All property types,Donegal,Euro,602.37,13280,167084
2022,1 to 3 bed,All property types,Donegal,Euro,596.55,13280,167084
2022,One bed,All property types,Donegal,Euro,596.54,13280,167084
2022,1 to 3 bed,All property types,Donegal,Euro,592.12,13280,167084
2022,1 to 2 bed,All property types,Donegal,Euro,581.81,13280,167084
2022,1 to 3 bed,All property types,Donegal,Euro,579.01,13280,167084
2022,1 to 2 bed,All property types,Donegal,Euro,573.46,13280,167084
2022,1 to 3 bed,All property types,Donegal,Euro,565.41,13280,167084
2022,Three bed,All property types,Donegal,Euro,553.04,13280,167084
2022,1 to 2 bed,All property types,Donegal,Euro,552.19,13280,167084
2022,Two bed,All property types,Donegal,Euro,551.28,13280,167084
2022,One bed,All property types,Donegal,Euro,538.09,13280,167084
2022,1 to 2 bed,All property types,Donegal,Euro,507.66,13280,167084
2022,Four plus bed,All property types,Dublin,Euro,4324.51,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,4213.17,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,4188.71,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,3941.27,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,3676.63,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,3585.99,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,3364.25,18395,1458154
2022,Three bed,All property types,Dublin,Euro,3298.2,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,3293,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,3281.75,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,3270.48,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,3216.02,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,3115.88,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,3086.44,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,3062.55,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,3013.47,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,3006.57,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,2938.04,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2933.85,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,2933.23,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,2912.37,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,2907.53,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2898.88,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2865.28,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2813.48,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2788.09,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,2772.37,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2734.45,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2727.07,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2726.23,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,2715.31,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2709.97,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,2655.67,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,2613.35,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2611.36,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2586.88,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2563.85,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2548.56,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,2543.96,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2493.3,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2485.67,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2473.57,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,2466.18,18395,1458154
2022,Two bed,All property types,Dublin,Euro,2465.49,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2462.86,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2455.86,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2453.93,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2443.32,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2437.27,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,2435.79,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2430.66,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2421.71,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2404.69,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2401.7,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,2400.68,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2396.3,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2391.13,18395,1458154
2022,1 to 3 bed,All property types,Dublin,Euro,2391.13,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2378.75,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2369.66,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2369.4,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2357.69,18395,1458154
2022,1 to 2 bed,All property types,Dublin,Euro,2355.29,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2350.69,18395,1458154
2022,1 to 3 bed,All property types,Dublin,Euro,2328.36,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2325.22,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,2324.97,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2319.38,18395,1458154
2022,Two bed,All property types,Dublin,Euro,2319.38,18395,1458154
2022,Two bed,All property types,Dublin,Euro,2311.47,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2305.5,18395,1458154
2022,1 to 3 bed,All property types,Dublin,Euro,2300.76,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2296.52,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2290.1,18395,1458154
2022,1 to 3 bed,All property types,Dublin,Euro,2272.65,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2269.31,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2269.3,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2260.94,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2257.36,18395,1458154
2022,1 to 3 bed,All property types,Dublin,Euro,2257.36,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2248.3,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2247.94,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,2241.21,18395,1458154
2022,1 to 2 bed,All property types,Dublin,Euro,2231.09,18395,1458154
2022,Two bed,All property types,Dublin,Euro,2229.49,18395,1458154
2022,1 to 3 bed,All property types,Dublin,Euro,2221.44,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2205.82,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2201.3,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2201.26,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2201.15,18395,1458154
2022,Four plus bed,All property types,Dublin,Euro,2195.19,18395,1458154
2022,Two bed,All property types,Dublin,Euro,2183.87,18395,1458154
2022,1 to 2 bed,All property types,Dublin,Euro,2182.6,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2177.36,18395,1458154
2022,1 to 3 bed,All property types,Dublin,Euro,2174.78,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2172.8,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2161.16,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2152.15,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2150.46,18395,1458154
2022,1 to 3 bed,All property types,Dublin,Euro,2141.15,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2140,18395,1458154
2022,1 to 3 bed,All property types,Dublin,Euro,2139.52,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2137.59,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2129.01,18395,1458154
2022,Two bed,All property types,Dublin,Euro,2128.04,18395,1458154
2022,Two bed,All property types,Dublin,Euro,2126.73,18395,1458154
2022,All bedrooms,All property types,Dublin,Euro,2123.84,18395,1458154
2022,1 to 3 bed,All property types,Dublin,Euro,2123.84,18395,1458154
2022,Three bed,All property types,Dublin,Euro,2117.31,18395,1458154
